0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.737 | MinDCF =0.997
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.024 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.993 | MinDCF =0.998
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.915 | MinDCF =0.907
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.907
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.127 | MinDCF =0.998
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.918 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.987 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.971 | MinDCF =0.855
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.855
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.797 | MinDCF =0.995
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.013 | MinDCF =0.995
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.855 | MinDCF =0.997
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.912 | MinDCF =0.997
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.993 | MinDCF =0.916
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.990 | MinDCF =0.916
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.080 | MinDCF =0.989
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.990 | MinDCF =0.989
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.754 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.892 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.945 | MinDCF =0.900
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.989 | MinDCF =0.900
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.692 | MinDCF =0.989
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.016681005372000592 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.002 | MinDCF =0.989
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.631 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.978 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.979 | MinDCF =0.913
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.913
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.157 | MinDCF =0.986
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.986
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.059 | MinDCF =0.997
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.993 | MinDCF =0.997
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.949 | MinDCF =0.940
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.940
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.436 | MinDCF =0.991
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.991
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.280 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.852 | MinDCF =0.998
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.848
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.989 | MinDCF =0.848
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.712 | MinDCF =0.991
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.042 | MinDCF =0.991
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.501 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.987 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.923
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.923
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.499 | MinDCF =0.993
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.027825594022071243 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.013 | MinDCF =0.993
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.516 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =9.000 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.970 | MinDCF =0.892
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.892
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.182 | MinDCF =0.999
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.999
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.222 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.978 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.891 | MinDCF =0.887
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.887
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =6.685 | MinDCF =0.998
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =3.197 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.993 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.953 | MinDCF =0.900
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.900
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =6.330 | MinDCF =0.995
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.995
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.157 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =9.000 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.846 | MinDCF =0.821
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.821
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =6.301 | MinDCF =0.999
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.046415888336127774 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.999
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.340 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.993 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.942 | MinDCF =0.934
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.934
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.081 | MinDCF =0.994
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.994
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.201 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.978 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.916 | MinDCF =0.903
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.903
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =6.958 | MinDCF =0.991
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.991
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =4.064 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =9.000 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.023 | MinDCF =0.911
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.911
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =6.165 | MinDCF =0.988
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.988
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.170 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.936 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.974 | MinDCF =0.840
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.994 | MinDCF =0.840
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.569 | MinDCF =0.998
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.0774263682681127 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.007 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.585 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.985 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.004 | MinDCF =0.884
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.884
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.456 | MinDCF =0.997
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.997
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.425 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.972 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.936 | MinDCF =0.839
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.839
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.931 | MinDCF =0.998
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.011 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.292 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.972 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.987 | MinDCF =0.909
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.909
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.577 | MinDCF =0.998
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.011 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.394 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.858 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.931 | MinDCF =0.869
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.989 | MinDCF =0.869
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.913 | MinDCF =0.997
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.1291549665014884 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.028 | MinDCF =0.997
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.21544346900318834 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.666 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.21544346900318834 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =9.000 | MinDCF =0.998
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.21544346900318834 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.968 | MinDCF =0.918
