0.1 | GMM Full | nComponents = 1 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.785 | MinDCF =0.813
0.9 | GMM Tied | nComponents = 1 | Raw | Calibrated | PCA = 10 | ActDCF =8.122 | MinDCF =0.852
0.1 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.369 | MinDCF =0.799
0.1 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 10 | ActDCF =5.321 | MinDCF =0.799
0.5 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.372 | MinDCF =0.327
0.5 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 10 | ActDCF =0.416 | MinDCF =0.327
0.9 | GMM Tied | nComponents = 2 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.351 | MinDCF =0.852
0.9 | GMM Tied | nComponents = 2 | Raw | Calibrated | PCA = 10 | ActDCF =8.122 | MinDCF =0.852
0.1 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.242 | MinDCF =0.852
0.1 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 10 | ActDCF =5.405 | MinDCF =0.852
0.5 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.330 | MinDCF =0.304
0.5 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 10 | ActDCF =0.395 | MinDCF =0.304
0.9 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.061 | MinDCF =0.846
0.9 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 10 | ActDCF =7.771 | MinDCF =0.846
0.1 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.391 | MinDCF =0.859
0.1 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 10 | ActDCF =4.644 | MinDCF =0.859
0.5 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.348 | MinDCF =0.308
0.5 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 10 | ActDCF =0.354 | MinDCF =0.308
0.9 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.092 | MinDCF =0.828
0.9 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 10 | ActDCF =8.082 | MinDCF =0.828
0.1 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.372 | MinDCF =0.798
0.1 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 10 | ActDCF =4.243 | MinDCF =0.798
0.5 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.336 | MinDCF =0.291
0.5 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 10 | ActDCF =0.342 | MinDCF =0.291
0.9 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.989 | MinDCF =0.778
0.9 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 10 | ActDCF =7.435 | MinDCF =0.778
0.1 | GMM Tied | nComponents = 32 | Raw | Uncalibrated | PCA = 10 | ActDCF =2.332 | MinDCF =0.772
0.1 | GMM Tied | nComponents = 32 | Raw | Calibrated | PCA = 10 | ActDCF =4.174 | MinDCF =0.772
0.5 | GMM Tied | nComponents = 32 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.329 | MinDCF =0.281
0.5 | GMM Tied | nComponents = 32 | Raw | Calibrated | PCA = 10 | ActDCF =0.323 | MinDCF =0.281
0.9 | GMM Tied | nComponents = 32 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.955 | MinDCF =0.775
0.9 | GMM Tied | nComponents = 32 | Raw | Calibrated | PCA = 10 | ActDCF =7.199 | MinDCF =0.775
0.1 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.896 | MinDCF =0.795
0.1 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 10 | ActDCF =4.157 | MinDCF =0.795
0.5 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 10 | ActDCF =0.316 | MinDCF =0.299
0.5 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 10 | ActDCF =0.349 | MinDCF =0.299
0.9 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.269 | MinDCF =0.716
0.9 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 10 | ActDCF =7.302 | MinDCF =0.716
0.1 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.896 | MinDCF =0.794
0.1 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 10 | ActDCF =4.157 | MinDCF =0.794
0.5 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 10 | ActDCF =0.316 | MinDCF =0.299
0.5 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 10 | ActDCF =0.349 | MinDCF =0.299
0.9 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.269 | MinDCF =0.716
0.9 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 10 | ActDCF =7.302 | MinDCF =0.716
0.1 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.710 | MinDCF =0.738
0.1 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 10 | ActDCF =4.214 | MinDCF =0.738
0.5 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 10 | ActDCF =0.300 | MinDCF =0.298
0.5 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 10 | ActDCF =0.340 | MinDCF =0.298
0.9 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.292 | MinDCF =0.756
0.9 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 10 | ActDCF =7.303 | MinDCF =0.756
0.1 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.792 | MinDCF =0.718
0.1 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 10 | ActDCF =3.883 | MinDCF =0.718
0.5 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 10 | ActDCF =0.311 | MinDCF =0.297
0.5 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 10 | ActDCF =0.323 | MinDCF =0.297
0.9 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.316 | MinDCF =0.719
0.9 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 10 | ActDCF =6.777 | MinDCF =0.719
0.1 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.753 | MinDCF =0.697
0.1 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 10 | ActDCF =3.485 | MinDCF =0.697
0.5 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 10 | ActDCF =0.298 | MinDCF =0.292
0.5 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 10 | ActDCF =0.325 | MinDCF =0.292
0.9 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.224 | MinDCF =0.622
0.9 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 10 | ActDCF =6.485 | MinDCF =0.622
0.1 | GMM Tied | nComponents = 32 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.696 | MinDCF =0.688
0.1 | GMM Tied | nComponents = 32 | Normalized | Calibrated | PCA = 10 | ActDCF =3.391 | MinDCF =0.688
0.5 | GMM Tied | nComponents = 32 | Normalized | Uncalibrated | PCA = 10 | ActDCF =0.293 | MinDCF =0.288
0.5 | GMM Tied | nComponents = 32 | Normalized | Calibrated | PCA = 10 | ActDCF =0.321 | MinDCF =0.288
0.9 | GMM Tied | nComponents = 32 | Normalized | Uncalibrated | PCA = 10 | ActDCF =1.232 | MinDCF =0.648
0.9 | GMM Tied | nComponents = 32 | Normalized | Calibrated | PCA = 10 | ActDCF =6.307 | MinDCF =0.648
