0.1 | 0.1 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.861 | MinDCF =0.854
0.1 | 0.5 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.700 | MinDCF =0.440
0.1 | 0.9 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =6.142 | MinDCF =0.958
0.1 | 0.1 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.744 | MinDCF =0.721
0.1 | 0.5 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.496 | MinDCF =0.295
0.1 | 0.9 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =4.215 | MinDCF =0.673
0.1 | 0.1 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.861 | MinDCF =0.849
0.1 | 0.5 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.705 | MinDCF =0.450
0.1 | 0.9 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =6.186 | MinDCF =0.965
0.1 | 0.1 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =0.745 | MinDCF =0.718
0.1 | 0.5 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =0.503 | MinDCF =0.294
0.1 | 0.9 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =4.288 | MinDCF =0.675
0.1 | 0.1 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =0.864 | MinDCF =0.854
0.1 | 0.5 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =0.701 | MinDCF =0.440
0.1 | 0.9 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =6.143 | MinDCF =0.967
0.1 | 0.1 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =0.740 | MinDCF =0.710
0.1 | 0.5 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =0.511 | MinDCF =0.290
0.1 | 0.9 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =4.374 | MinDCF =0.679
0.1 | 0.1 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =0.857 | MinDCF =0.851
0.1 | 0.5 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =0.707 | MinDCF =0.436
0.1 | 0.9 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =6.215 | MinDCF =0.969
0.1 | 0.1 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =0.728 | MinDCF =0.707
0.1 | 0.5 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =0.526 | MinDCF =0.285
0.1 | 0.9 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =4.533 | MinDCF =0.670
0.1 | 0.1 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =0.861 | MinDCF =0.858
0.1 | 0.5 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =0.705 | MinDCF =0.460
0.1 | 0.9 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =6.186 | MinDCF =0.975
0.1 | 0.1 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =0.712 | MinDCF =0.698
0.1 | 0.5 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =0.536 | MinDCF =0.290
0.1 | 0.9 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =4.647 | MinDCF =0.668
0.1 | 0.1 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =0.856 | MinDCF =0.853
0.1 | 0.5 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =0.700 | MinDCF =0.449
0.1 | 0.9 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =6.142 | MinDCF =0.973
0.1 | 0.1 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.697 | MinDCF =0.667
0.1 | 0.5 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.560 | MinDCF =0.294
0.1 | 0.9 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =4.906 | MinDCF =0.704
0.1 | 0.1 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.865 | MinDCF =0.856
0.1 | 0.5 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.708 | MinDCF =0.448
0.1 | 0.9 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =6.215 | MinDCF =0.956
0.1 | 0.1 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.781 | MinDCF =0.680
0.1 | 0.5 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.638 | MinDCF =0.297
0.1 | 0.9 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =5.597 | MinDCF =0.731
0.1 | 0.1 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.886 | MinDCF =0.865
0.1 | 0.5 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.703 | MinDCF =0.447
0.1 | 0.9 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =6.145 | MinDCF =0.948
0.1 | 0.1 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.812 | MinDCF =0.710
0.1 | 0.5 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.727 | MinDCF =0.312
0.1 | 0.9 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =6.456 | MinDCF =0.828
0.1 | 0.1 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =0.869 | MinDCF =0.860
0.1 | 0.5 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =0.700 | MinDCF =0.445
0.1 | 0.9 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =6.129 | MinDCF =0.981
0.1 | 0.1 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.884 | MinDCF =0.745
0.1 | 0.5 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.832 | MinDCF =0.319
0.1 | 0.9 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =7.436 | MinDCF =0.899
0.1 | 0.1 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =0.865 | MinDCF =0.859
0.1 | 0.5 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =0.708 | MinDCF =0.449
0.1 | 0.9 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =6.215 | MinDCF =0.967
0.1 | 0.1 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =0.933 | MinDCF =0.821
0.1 | 0.5 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =0.920 | MinDCF =0.331
0.1 | 0.9 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =8.268 | MinDCF =0.927
0.1 | 0.1 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =0.861 | MinDCF =0.843
0.1 | 0.5 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =0.718 | MinDCF =0.443
0.1 | 0.9 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =6.316 | MinDCF =0.977
0.1 | 0.1 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =0.974 | MinDCF =0.876
0.1 | 0.5 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =0.974 | MinDCF =0.377
0.1 | 0.9 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =8.765 | MinDCF =0.936
0.1 | 0.1 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =0.883 | MinDCF =0.858
0.1 | 0.5 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =0.720 | MinDCF =0.446
0.1 | 0.9 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =6.319 | MinDCF =0.940
0.1 | 0.1 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.934
0.1 | 0.5 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.419
0.1 | 0.9 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.949
0.1 | 0.1 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =0.873 | MinDCF =0.845
0.1 | 0.5 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =0.716 | MinDCF =0.467
0.1 | 0.9 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =6.289 | MinDCF =0.973
0.1 | 0.1 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.940
0.1 | 0.5 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.444
0.1 | 0.9 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.959
0.1 | 0.1 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =0.868 | MinDCF =0.857
0.1 | 0.5 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =0.724 | MinDCF =0.457
0.1 | 0.9 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =6.375 | MinDCF =0.957
0.1 | 0.1 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.954
0.1 | 0.5 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.458
0.1 | 0.9 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.963
0.1 | 0.1 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =0.876 | MinDCF =0.843
0.1 | 0.5 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =0.732 | MinDCF =0.457
0.1 | 0.9 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =6.449 | MinDCF =0.976
0.1 | 0.1 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.961
0.1 | 0.5 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.463
0.1 | 0.9 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.965
0.1 | 0.1 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =0.857 | MinDCF =0.830
0.1 | 0.5 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =0.746 | MinDCF =0.480
0.1 | 0.9 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =6.606 | MinDCF =0.959
0.1 | 0.1 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.961
0.1 | 0.5 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.468
0.1 | 0.9 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.967
0.1 | 0.1 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =0.878 | MinDCF =0.819
0.1 | 0.5 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =0.799 | MinDCF =0.502
0.1 | 0.9 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =7.116 | MinDCF =0.951
0.1 | 0.1 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.962
0.1 | 0.5 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.475
0.1 | 0.9 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.967
0.5 | 0.1 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =1.874 | MinDCF =0.832
0.5 | 0.5 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.413 | MinDCF =0.389
0.5 | 0.9 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =2.253 | MinDCF =0.877
0.5 | 0.1 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =1.431 | MinDCF =0.704
0.5 | 0.5 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.295 | MinDCF =0.285
0.5 | 0.9 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =1.522 | MinDCF =0.663
0.5 | 0.1 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =2.098 | MinDCF =0.847
0.5 | 0.5 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.375 | MinDCF =0.375
0.5 | 0.9 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =1.654 | MinDCF =0.848
0.5 | 0.1 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =1.431 | MinDCF =0.704
0.5 | 0.5 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.295 | MinDCF =0.285
0.5 | 0.9 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =1.522 | MinDCF =0.663
0.5 | 0.1 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =1.929 | MinDCF =0.816
0.5 | 0.5 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.396 | MinDCF =0.385
0.5 | 0.9 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =2.027 | MinDCF =0.878
0.5 | 0.1 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =1.431 | MinDCF =0.706
0.5 | 0.5 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.295 | MinDCF =0.284
0.5 | 0.9 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =1.522 | MinDCF =0.663
0.5 | 0.1 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =1.950 | MinDCF =0.825
0.5 | 0.5 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.378 | MinDCF =0.359
0.5 | 0.9 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =1.826 | MinDCF =0.907
0.5 | 0.1 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =1.423 | MinDCF =0.707
0.5 | 0.5 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.294 | MinDCF =0.285
0.5 | 0.9 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =1.521 | MinDCF =0.662
0.5 | 0.1 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =1.917 | MinDCF =0.847
0.5 | 0.5 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.390 | MinDCF =0.385
0.5 | 0.9 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =1.982 | MinDCF =0.892
0.5 | 0.1 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =1.425 | MinDCF =0.701
0.5 | 0.5 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =0.296 | MinDCF =0.286
0.5 | 0.9 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =1.536 | MinDCF =0.657
0.5 | 0.1 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =1.910 | MinDCF =0.818
0.5 | 0.5 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =0.383 | MinDCF =0.380
0.5 | 0.9 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =1.923 | MinDCF =0.891
0.5 | 0.1 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =1.418 | MinDCF =0.697
0.5 | 0.5 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =0.295 | MinDCF =0.287
0.5 | 0.9 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =1.535 | MinDCF =0.644
0.5 | 0.1 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =1.910 | MinDCF =0.849
0.5 | 0.5 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =0.370 | MinDCF =0.367
0.5 | 0.9 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =1.793 | MinDCF =0.828
0.5 | 0.1 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =1.419 | MinDCF =0.693
0.5 | 0.5 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =0.297 | MinDCF =0.286
0.5 | 0.9 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =1.550 | MinDCF =0.636
0.5 | 0.1 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =1.952 | MinDCF =0.837
0.5 | 0.5 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =0.379 | MinDCF =0.374
0.5 | 0.9 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =1.841 | MinDCF =0.834
0.5 | 0.1 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =1.391 | MinDCF =0.688
0.5 | 0.5 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =0.288 | MinDCF =0.286
0.5 | 0.9 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =1.489 | MinDCF =0.624
0.5 | 0.1 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =2.024 | MinDCF =0.841
0.5 | 0.5 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =0.380 | MinDCF =0.374
0.5 | 0.9 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =1.777 | MinDCF =0.857
0.5 | 0.1 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =1.356 | MinDCF =0.679
0.5 | 0.5 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.285 | MinDCF =0.282
0.5 | 0.9 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =1.499 | MinDCF =0.639
0.5 | 0.1 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =1.821 | MinDCF =0.833
0.5 | 0.5 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.392 | MinDCF =0.369
0.5 | 0.9 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =2.102 | MinDCF =0.889
0.5 | 0.1 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =1.400 | MinDCF =0.684
0.5 | 0.5 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.290 | MinDCF =0.281
0.5 | 0.9 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =1.504 | MinDCF =0.655
0.5 | 0.1 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =2.105 | MinDCF =0.853
0.5 | 0.5 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.402 | MinDCF =0.390
0.5 | 0.9 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =1.916 | MinDCF =0.833
0.5 | 0.1 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =1.355 | MinDCF =0.699
0.5 | 0.5 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.291 | MinDCF =0.287
0.5 | 0.9 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =1.557 | MinDCF =0.675
0.5 | 0.1 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =1.869 | MinDCF =0.838
0.5 | 0.5 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =0.387 | MinDCF =0.386
0.5 | 0.9 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =2.006 | MinDCF =0.852
0.5 | 0.1 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =1.362 | MinDCF =0.723
0.5 | 0.5 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.305 | MinDCF =0.302
0.5 | 0.9 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =1.688 | MinDCF =0.735
0.5 | 0.1 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =1.938 | MinDCF =0.829
0.5 | 0.5 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =0.398 | MinDCF =0.394
0.5 | 0.9 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =2.042 | MinDCF =0.853
0.5 | 0.1 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =1.446 | MinDCF =0.740
0.5 | 0.5 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =0.317 | MinDCF =0.312
0.5 | 0.9 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =1.727 | MinDCF =0.812
0.5 | 0.1 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =1.949 | MinDCF =0.834
0.5 | 0.5 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =0.383 | MinDCF =0.381
0.5 | 0.9 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =1.884 | MinDCF =0.818
0.5 | 0.1 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =1.556 | MinDCF =0.795
0.5 | 0.5 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =0.343 | MinDCF =0.334
0.5 | 0.9 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =1.869 | MinDCF =0.919
0.5 | 0.1 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =1.934 | MinDCF =0.845
0.5 | 0.5 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =0.387 | MinDCF =0.378
0.5 | 0.9 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =1.940 | MinDCF =0.894
0.5 | 0.1 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =1.697 | MinDCF =0.869
0.5 | 0.5 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =0.386 | MinDCF =0.361
