0.06720471382141113
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.274 | MinDCF =0.244
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.631 | MinDCF =0.938
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =1.422 | MinDCF =0.951
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.815 | MinDCF =0.403
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =1.143 | MinDCF =0.406
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.295 | MinDCF =0.292
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =0.303 | MinDCF =0.292
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.137 | MinDCF =0.930
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =1.892 | MinDCF =0.930
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.057 | MinDCF =0.599
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =1.842 | MinDCF =0.597
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.368 | MinDCF =0.366
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =0.403 | MinDCF =0.366
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.618 | MinDCF =0.918
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =2.186 | MinDCF =0.920
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.996 | MinDCF =0.971
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =2.273 | MinDCF =0.982
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.581 | MinDCF =0.466
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =0.484 | MinDCF =0.473
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.816 | MinDCF =0.877
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =2.570 | MinDCF =0.899
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.475 | MinDCF =0.761
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =1.883 | MinDCF =0.765
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.405 | MinDCF =0.398
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =0.416 | MinDCF =0.398
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.578 | MinDCF =0.894
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =2.277 | MinDCF =0.897
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.093 | MinDCF =0.790
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =2.154 | MinDCF =0.788
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.511 | MinDCF =0.502
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =0.512 | MinDCF =0.502
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.015 | MinDCF =0.998
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =2.968 | MinDCF =0.998
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 1.0 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.572 | MinDCF =1.000
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 1.0 | Raw | Calibrated | PCA = 8 | ActDCF =4.718 | MinDCF =1.000
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 1.0 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.943 | MinDCF =0.716
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 1.0 | Raw | Calibrated | PCA = 8 | ActDCF =0.940 | MinDCF =0.721
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 1.0 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.860 | MinDCF =0.966
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 1.0 | Raw | Calibrated | PCA = 8 | ActDCF =4.682 | MinDCF =0.971
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.272 | MinDCF =0.254
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.350 | MinDCF =0.253
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.241 | MinDCF =0.148
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.153 | MinDCF =0.148
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.141 | MinDCF =0.662
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.176 | MinDCF =0.677
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.284 | MinDCF =0.278
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =0.474 | MinDCF =0.277
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.243 | MinDCF =0.181
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =0.184 | MinDCF =0.180
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.143 | MinDCF =0.840
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =1.363 | MinDCF =0.884
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.280 | MinDCF =0.266
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =0.446 | MinDCF =0.269
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.248 | MinDCF =0.163
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =0.168 | MinDCF =0.164
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.197 | MinDCF =0.821
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =1.230 | MinDCF =0.864
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.580 | MinDCF =0.446
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =0.877 | MinDCF =0.447
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.294 | MinDCF =0.268
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =0.270 | MinDCF =0.270
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.360 | MinDCF =0.830
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =1.819 | MinDCF =0.849
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.793 | MinDCF =0.515
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =1.006 | MinDCF =0.518
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.306 | MinDCF =0.263
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =0.273 | MinDCF =0.266
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.264 | MinDCF =0.807
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =1.725 | MinDCF =0.823
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.076 | MinDCF =0.481
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =1.369 | MinDCF =0.480
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.320 | MinDCF =0.310
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =0.331 | MinDCF =0.312
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.122 | MinDCF =0.877
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =1.939 | MinDCF =0.915
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.408 | MinDCF =0.300
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =1.484 | MinDCF =0.300
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.398 | MinDCF =0.235
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =0.310 | MinDCF =0.236
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.575 | MinDCF =0.889
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =1.616 | MinDCF =0.890
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.957 | MinDCF =0.687
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =1.771 | MinDCF =0.685
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.436 | MinDCF =0.411
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =0.424 | MinDCF =0.412
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.398 | MinDCF =0.908
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =2.470 | MinDCF =0.902
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.795 | MinDCF =1.000
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =3.103 | MinDCF =1.000
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.586 | MinDCF =0.561
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =0.569 | MinDCF =0.562
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.067 | MinDCF =0.912
0.1 | 0.9 | SVM Linear | K = 10.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =2.586 | MinDCF =0.907
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 1.0 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.180 | MinDCF =0.867
0.1 | 0.1 | SVM Linear | K = 10.0 | C = 1.0 | Raw | Calibrated | PCA = 8 | ActDCF =3.053 | MinDCF =0.867
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 1.0 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.639 | MinDCF =0.620
0.1 | 0.5 | SVM Linear | K = 10.0 | C = 1.0 | Raw | Calibrated | PCA = 8 | ActDCF =0.680 | MinDCF =0.621
