0.04435276985168457
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.758 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.368
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.418 | MinDCF =0.372
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.928
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.426 | MinDCF =0.932
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.529 | MinDCF =0.503
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =2.192 | MinDCF =0.597
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.523 | MinDCF =0.322
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.349 | MinDCF =0.320
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.704 | MinDCF =0.916
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.294 | MinDCF =0.948
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.901
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.459 | MinDCF =0.901
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.292
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.302 | MinDCF =0.293
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.870
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.559 | MinDCF =0.898
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.686 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.361
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.410 | MinDCF =0.364
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.927
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.418 | MinDCF =0.939
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.529 | MinDCF =0.503
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =2.192 | MinDCF =0.597
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.523 | MinDCF =0.322
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.349 | MinDCF =0.320
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.704 | MinDCF =0.916
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.294 | MinDCF =0.948
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.818
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.499 | MinDCF =0.818
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.293
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.297 | MinDCF =0.295
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.845
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.466 | MinDCF =0.841
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.605 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.355
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.400 | MinDCF =0.358
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.931
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.398 | MinDCF =0.941
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.529 | MinDCF =0.503
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =2.192 | MinDCF =0.597
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.523 | MinDCF =0.322
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.349 | MinDCF =0.320
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.704 | MinDCF =0.916
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.294 | MinDCF =0.948
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.736
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.486 | MinDCF =0.738
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.281
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.286 | MinDCF =0.282
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.826
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.378 | MinDCF =0.830
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.535 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.359
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.396 | MinDCF =0.358
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.940
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.423 | MinDCF =0.931
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.529 | MinDCF =0.503
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =2.179 | MinDCF =0.596
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.523 | MinDCF =0.322
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.347 | MinDCF =0.320
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.704 | MinDCF =0.917
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.292 | MinDCF =0.949
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.674
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.489 | MinDCF =0.673
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.284
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.292 | MinDCF =0.285
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.818
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.432 | MinDCF =0.833
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.511 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.362
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.397 | MinDCF =0.363
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.935
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.463 | MinDCF =0.948
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.529 | MinDCF =0.503
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =2.110 | MinDCF =0.585
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.523 | MinDCF =0.321
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.341 | MinDCF =0.320
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.704 | MinDCF =0.916
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.295 | MinDCF =0.942
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.659
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.455 | MinDCF =0.657
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.275
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.283 | MinDCF =0.275
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.825
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.374 | MinDCF =0.832
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.521 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.371
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.409 | MinDCF =0.369
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.956
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.573 | MinDCF =0.966
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.527 | MinDCF =0.501
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.995 | MinDCF =0.552
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.521 | MinDCF =0.319
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.338 | MinDCF =0.318
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.682 | MinDCF =0.920
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.380 | MinDCF =0.962
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.663
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.525 | MinDCF =0.671
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.305
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.306 | MinDCF =0.301
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.848
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.534 | MinDCF =0.860
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.976
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.495 | MinDCF =0.974
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.383
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.412 | MinDCF =0.385
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.956
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.624 | MinDCF =0.968
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.5994842503189409 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.527 | MinDCF =0.498
