Full | Raw | PCA = 5 | ActDCF =0.397 | MinDCF =0.394
Full | Raw | PCA = 6 | ActDCF =0.399 | MinDCF =0.384
Full | Raw | PCA = 7 | ActDCF =0.364 | MinDCF =0.352
Full | Raw | PCA = 8 | ActDCF =0.357 | MinDCF =0.345
Full | Raw | PCA = 9 | ActDCF =0.321 | MinDCF =0.321
Full | Raw | PCA = 10 | ActDCF =0.370 | MinDCF =0.327
Full | Raw | PCA = 11 | ActDCF =0.362 | MinDCF =0.312
Full | Normalized | PCA = 5 | ActDCF =0.426 | MinDCF =0.384
Full | Normalized | PCA = 6 | ActDCF =0.390 | MinDCF =0.365
Full | Normalized | PCA = 7 | ActDCF =0.333 | MinDCF =0.325
Full | Normalized | PCA = 8 | ActDCF =0.315 | MinDCF =0.308
Full | Normalized | PCA = 9 | ActDCF =0.319 | MinDCF =0.307
Full | Normalized | PCA = 10 | ActDCF =0.316 | MinDCF =0.299
Full | Normalized | PCA = 11 | ActDCF =0.320 | MinDCF =0.304
Bayes | Raw | PCA = 5 | ActDCF =0.433 | MinDCF =0.414
Bayes | Raw | PCA = 6 | ActDCF =0.422 | MinDCF =0.414
Bayes | Raw | PCA = 7 | ActDCF =0.400 | MinDCF =0.396
Bayes | Raw | PCA = 8 | ActDCF =0.395 | MinDCF =0.389
Bayes | Raw | PCA = 9 | ActDCF =0.393 | MinDCF =0.383
Bayes | Raw | PCA = 10 | ActDCF =0.424 | MinDCF =0.387
Bayes | Raw | PCA = 11 | ActDCF =0.422 | MinDCF =0.384
Bayes | Normalized | PCA = 5 | ActDCF =0.473 | MinDCF =0.450
Bayes | Normalized | PCA = 6 | ActDCF =0.428 | MinDCF =0.423
Bayes | Normalized | PCA = 7 | ActDCF =0.437 | MinDCF =0.432
Bayes | Normalized | PCA = 8 | ActDCF =0.427 | MinDCF =0.420
Bayes | Normalized | PCA = 9 | ActDCF =0.429 | MinDCF =0.421
Bayes | Normalized | PCA = 10 | ActDCF =0.421 | MinDCF =0.411
Bayes | Normalized | PCA = 11 | ActDCF =0.415 | MinDCF =0.400
Tied | Raw | PCA = 5 | ActDCF =0.425 | MinDCF =0.420
Tied | Raw | PCA = 6 | ActDCF =0.407 | MinDCF =0.397
Tied | Raw | PCA = 7 | ActDCF =0.375 | MinDCF =0.371
Tied | Raw | PCA = 8 | ActDCF =0.368 | MinDCF =0.362
Tied | Raw | PCA = 9 | ActDCF =0.347 | MinDCF =0.338
Tied | Raw | PCA = 10 | ActDCF =0.351 | MinDCF =0.337
Tied | Raw | PCA = 11 | ActDCF =0.341 | MinDCF =0.334
Tied | Normalized | PCA = 5 | ActDCF =0.421 | MinDCF =0.384
Tied | Normalized | PCA = 6 | ActDCF =0.397 | MinDCF =0.368
Tied | Normalized | PCA = 7 | ActDCF =0.391 | MinDCF =0.380
Tied | Normalized | PCA = 8 | ActDCF =0.386 | MinDCF =0.383
Tied | Normalized | PCA = 9 | ActDCF =0.364 | MinDCF =0.356
Tied | Normalized | PCA = 10 | ActDCF =0.364 | MinDCF =0.354
Tied | Normalized | PCA = 11 | ActDCF =0.360 | MinDCF =0.356
Linear Regression | Lambda =5.46e-05 | Raw | PCA = 6 | ActDCF =0.396 | MinDCF =0.393
Linear Regression | Lambda =5.46e-05 | Raw | PCA = 7 | ActDCF =0.389 | MinDCF =0.384
Linear Regression | Lambda =5.46e-05 | Raw | PCA = 8 | ActDCF =0.374 | MinDCF =0.370
Linear Regression | Lambda =5.46e-05 | Raw | PCA = 9 | ActDCF =0.360 | MinDCF =0.355
Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.360 | MinDCF =0.356
Linear Regression | Lambda =5.46e-05 | Raw | PCA = 11 | ActDCF =0.357 | MinDCF =0.352
Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 5 | ActDCF =0.431 | MinDCF =0.404
Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 6 | ActDCF =0.396 | MinDCF =0.377
Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 7 | ActDCF =0.392 | MinDCF =0.387
Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 8 | ActDCF =0.398 | MinDCF =0.381
Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 9 | ActDCF =0.376 | MinDCF =0.367
Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.375 | MinDCF =0.368
Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 11 | ActDCF =0.374 | MinDCF =0.359
Linear Regression | Lambda =1.27e-04 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.427
Linear Regression | Lambda =1.27e-04 | Raw | PCA = 6 | ActDCF =0.396 | MinDCF =0.392
Linear Regression | Lambda =1.27e-04 | Raw | PCA = 7 | ActDCF =0.391 | MinDCF =0.383
Linear Regression | Lambda =1.27e-04 | Raw | PCA = 8 | ActDCF =0.377 | MinDCF =0.368
Linear Regression | Lambda =1.27e-04 | Raw | PCA = 9 | ActDCF =0.358 | MinDCF =0.353
Linear Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.356 | MinDCF =0.352
Linear Regression | Lambda =1.27e-04 | Raw | PCA = 11 | ActDCF =0.361 | MinDCF =0.356
Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 5 | ActDCF =0.431 | MinDCF =0.404
Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 6 | ActDCF =0.396 | MinDCF =0.377
Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 7 | ActDCF =0.392 | MinDCF =0.387
Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 8 | ActDCF =0.398 | MinDCF =0.381
Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 9 | ActDCF =0.376 | MinDCF =0.367
Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.375 | MinDCF =0.367
Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 11 | ActDCF =0.374 | MinDCF =0.359
Linear Regression | Lambda =2.98e-04 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.427
Linear Regression | Lambda =2.98e-04 | Raw | PCA = 6 | ActDCF =0.396 | MinDCF =0.395
Linear Regression | Lambda =2.98e-04 | Raw | PCA = 7 | ActDCF =0.382 | MinDCF =0.381
Linear Regression | Lambda =2.98e-04 | Raw | PCA = 8 | ActDCF =0.373 | MinDCF =0.369
Linear Regression | Lambda =2.98e-04 | Raw | PCA = 9 | ActDCF =0.355 | MinDCF =0.352
Linear Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.356 | MinDCF =0.352
Linear Regression | Lambda =2.98e-04 | Raw | PCA = 11 | ActDCF =0.358 | MinDCF =0.351
Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 5 | ActDCF =0.431 | MinDCF =0.404
Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 6 | ActDCF =0.396 | MinDCF =0.378
Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 7 | ActDCF =0.392 | MinDCF =0.387
Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 8 | ActDCF =0.399 | MinDCF =0.381
Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 9 | ActDCF =0.376 | MinDCF =0.367
Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =0.375 | MinDCF =0.366
Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 11 | ActDCF =0.374 | MinDCF =0.361
Linear Regression | Lambda =6.95e-04 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.427
Linear Regression | Lambda =6.95e-04 | Raw | PCA = 6 | ActDCF =0.403 | MinDCF =0.396
Linear Regression | Lambda =6.95e-04 | Raw | PCA = 7 | ActDCF =0.383 | MinDCF =0.381
Linear Regression | Lambda =6.95e-04 | Raw | PCA = 8 | ActDCF =0.374 | MinDCF =0.372
Linear Regression | Lambda =6.95e-04 | Raw | PCA = 9 | ActDCF =0.361 | MinDCF =0.353
Linear Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =0.361 | MinDCF =0.349
Linear Regression | Lambda =6.95e-04 | Raw | PCA = 11 | ActDCF =0.358 | MinDCF =0.352
Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 5 | ActDCF =0.431 | MinDCF =0.403
Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 6 | ActDCF =0.395 | MinDCF =0.378
Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 7 | ActDCF =0.394 | MinDCF =0.388
Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 8 | ActDCF =0.401 | MinDCF =0.381
Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 9 | ActDCF =0.374 | MinDCF =0.368
Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =0.377 | MinDCF =0.366
Linear Regression | Lambda =6.95e-04 | Normalized | PCA = 11 | ActDCF =0.375 | MinDCF =0.361
Linear Regression | Lambda =1.62e-03 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.426
Linear Regression | Lambda =1.62e-03 | Raw | PCA = 6 | ActDCF =0.404 | MinDCF =0.398
Linear Regression | Lambda =1.62e-03 | Raw | PCA = 7 | ActDCF =0.385 | MinDCF =0.378
Linear Regression | Lambda =1.62e-03 | Raw | PCA = 8 | ActDCF =0.375 | MinDCF =0.369
Linear Regression | Lambda =1.62e-03 | Raw | PCA = 9 | ActDCF =0.362 | MinDCF =0.354
Linear Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =0.361 | MinDCF =0.355
Linear Regression | Lambda =1.62e-03 | Raw | PCA = 11 | ActDCF =0.362 | MinDCF =0.354
Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 5 | ActDCF =0.429 | MinDCF =0.403
Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 6 | ActDCF =0.395 | MinDCF =0.376
Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 7 | ActDCF =0.396 | MinDCF =0.388
Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 8 | ActDCF =0.400 | MinDCF =0.382
Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 9 | ActDCF =0.367 | MinDCF =0.365
Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =0.372 | MinDCF =0.365
Linear Regression | Lambda =1.62e-03 | Normalized | PCA = 11 | ActDCF =0.371 | MinDCF =0.361
Linear Regression | Lambda =3.79e-03 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.426
Linear Regression | Lambda =3.79e-03 | Raw | PCA = 6 | ActDCF =0.412 | MinDCF =0.405
Linear Regression | Lambda =3.79e-03 | Raw | PCA = 7 | ActDCF =0.400 | MinDCF =0.389
Linear Regression | Lambda =3.79e-03 | Raw | PCA = 8 | ActDCF =0.392 | MinDCF =0.384
Linear Regression | Lambda =3.79e-03 | Raw | PCA = 9 | ActDCF =0.372 | MinDCF =0.365
Linear Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =0.372 | MinDCF =0.366
Linear Regression | Lambda =3.79e-03 | Raw | PCA = 11 | ActDCF =0.371 | MinDCF =0.367
Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 5 | ActDCF =0.427 | MinDCF =0.404
Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 6 | ActDCF =0.394 | MinDCF =0.374
Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 7 | ActDCF =0.395 | MinDCF =0.388
Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 8 | ActDCF =0.401 | MinDCF =0.382
Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 9 | ActDCF =0.372 | MinDCF =0.365
Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =0.371 | MinDCF =0.365
Linear Regression | Lambda =3.79e-03 | Normalized | PCA = 11 | ActDCF =0.371 | MinDCF =0.365
Linear Regression | Lambda =8.86e-03 | Raw | PCA = 5 | ActDCF =0.435 | MinDCF =0.426
Linear Regression | Lambda =8.86e-03 | Raw | PCA = 6 | ActDCF =0.422 | MinDCF =0.415
Linear Regression | Lambda =8.86e-03 | Raw | PCA = 7 | ActDCF =0.409 | MinDCF =0.407
Linear Regression | Lambda =8.86e-03 | Raw | PCA = 8 | ActDCF =0.409 | MinDCF =0.404
Linear Regression | Lambda =8.86e-03 | Raw | PCA = 9 | ActDCF =0.406 | MinDCF =0.396
Linear Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =0.406 | MinDCF =0.397
Linear Regression | Lambda =8.86e-03 | Raw | PCA = 11 | ActDCF =0.406 | MinDCF =0.396
Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 5 | ActDCF =0.430 | MinDCF =0.403
Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 6 | ActDCF =0.393 | MinDCF =0.377
Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 7 | ActDCF =0.400 | MinDCF =0.387
Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 8 | ActDCF =0.392 | MinDCF =0.383
Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 9 | ActDCF =0.370 | MinDCF =0.366
Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.368 | MinDCF =0.367
Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 11 | ActDCF =0.371 | MinDCF =0.367
Linear Regression | Lambda =2.07e-02 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.425
Linear Regression | Lambda =2.07e-02 | Raw | PCA = 6 | ActDCF =0.432 | MinDCF =0.418
Linear Regression | Lambda =2.07e-02 | Raw | PCA = 7 | ActDCF =0.423 | MinDCF =0.413
Linear Regression | Lambda =2.07e-02 | Raw | PCA = 8 | ActDCF =0.419 | MinDCF =0.412
Linear Regression | Lambda =2.07e-02 | Raw | PCA = 9 | ActDCF =0.417 | MinDCF =0.408
Linear Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.418 | MinDCF =0.409
Linear Regression | Lambda =2.07e-02 | Raw | PCA = 11 | ActDCF =0.418 | MinDCF =0.409
Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 5 | ActDCF =0.429 | MinDCF =0.405
Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 6 | ActDCF =0.396 | MinDCF =0.375
Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 7 | ActDCF =0.396 | MinDCF =0.386
Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 8 | ActDCF =0.392 | MinDCF =0.389
Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 9 | ActDCF =0.371 | MinDCF =0.369
Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.376 | MinDCF =0.367
Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 11 | ActDCF =0.372 | MinDCF =0.369
Linear Regression | Lambda =4.83e-02 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.421
Linear Regression | Lambda =4.83e-02 | Raw | PCA = 6 | ActDCF =0.425 | MinDCF =0.420
Linear Regression | Lambda =4.83e-02 | Raw | PCA = 7 | ActDCF =0.422 | MinDCF =0.413
Linear Regression | Lambda =4.83e-02 | Raw | PCA = 8 | ActDCF =0.418 | MinDCF =0.412
Linear Regression | Lambda =4.83e-02 | Raw | PCA = 9 | ActDCF =0.418 | MinDCF =0.412
Linear Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.418 | MinDCF =0.412
Linear Regression | Lambda =4.83e-02 | Raw | PCA = 11 | ActDCF =0.418 | MinDCF =0.412
Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 5 | ActDCF =0.432 | MinDCF =0.400
Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 6 | ActDCF =0.399 | MinDCF =0.380
Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 7 | ActDCF =0.392 | MinDCF =0.386
Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 8 | ActDCF =0.393 | MinDCF =0.387
Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 9 | ActDCF =0.376 | MinDCF =0.373
Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.383 | MinDCF =0.377
Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 11 | ActDCF =0.383 | MinDCF =0.374
Linear Regression | Lambda =1.13e-01 | Raw | PCA = 5 | ActDCF =0.426 | MinDCF =0.417
Linear Regression | Lambda =1.13e-01 | Raw | PCA = 6 | ActDCF =0.423 | MinDCF =0.417
Linear Regression | Lambda =1.13e-01 | Raw | PCA = 7 | ActDCF =0.422 | MinDCF =0.415
Linear Regression | Lambda =1.13e-01 | Raw | PCA = 8 | ActDCF =0.423 | MinDCF =0.415
Linear Regression | Lambda =1.13e-01 | Raw | PCA = 9 | ActDCF =0.423 | MinDCF =0.414
Linear Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =0.423 | MinDCF =0.414
Linear Regression | Lambda =1.13e-01 | Raw | PCA = 11 | ActDCF =0.423 | MinDCF =0.414
Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 5 | ActDCF =0.433 | MinDCF =0.404
Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 6 | ActDCF =0.399 | MinDCF =0.386
Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 7 | ActDCF =0.406 | MinDCF =0.399
Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 8 | ActDCF =0.405 | MinDCF =0.390
Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 9 | ActDCF =0.392 | MinDCF =0.377
Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.385 | MinDCF =0.376
Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 11 | ActDCF =0.388 | MinDCF =0.376
Linear Regression | Lambda =2.64e-01 | Raw | PCA = 5 | ActDCF =0.427 | MinDCF =0.415
Linear Regression | Lambda =2.64e-01 | Raw | PCA = 6 | ActDCF =0.427 | MinDCF =0.412
Linear Regression | Lambda =2.64e-01 | Raw | PCA = 7 | ActDCF =0.427 | MinDCF =0.409
Linear Regression | Lambda =2.64e-01 | Raw | PCA = 8 | ActDCF =0.427 | MinDCF =0.409
Linear Regression | Lambda =2.64e-01 | Raw | PCA = 9 | ActDCF =0.427 | MinDCF =0.409
Linear Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =0.427 | MinDCF =0.409
Linear Regression | Lambda =2.64e-01 | Raw | PCA = 11 | ActDCF =0.427 | MinDCF =0.409
Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 5 | ActDCF =0.431 | MinDCF =0.408
Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 6 | ActDCF =0.409 | MinDCF =0.388
Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 7 | ActDCF =0.411 | MinDCF =0.405
Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 8 | ActDCF =0.414 | MinDCF =0.403
Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 9 | ActDCF =0.409 | MinDCF =0.392
Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =0.411 | MinDCF =0.386
Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 11 | ActDCF =0.409 | MinDCF =0.386
Linear Regression | Lambda =6.16e-01 | Raw | PCA = 5 | ActDCF =0.439 | MinDCF =0.435
Linear Regression | Lambda =6.16e-01 | Raw | PCA = 6 | ActDCF =0.439 | MinDCF =0.435
Linear Regression | Lambda =6.16e-01 | Raw | PCA = 7 | ActDCF =0.437 | MinDCF =0.433
Linear Regression | Lambda =6.16e-01 | Raw | PCA = 8 | ActDCF =0.437 | MinDCF =0.433
Linear Regression | Lambda =6.16e-01 | Raw | PCA = 9 | ActDCF =0.437 | MinDCF =0.433
Linear Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =0.437 | MinDCF =0.433
Linear Regression | Lambda =6.16e-01 | Raw | PCA = 11 | ActDCF =0.437 | MinDCF =0.433
Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 5 | ActDCF =0.449 | MinDCF =0.432
Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 6 | ActDCF =0.425 | MinDCF =0.411
Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 7 | ActDCF =0.421 | MinDCF =0.416
Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 8 | ActDCF =0.422 | MinDCF =0.413
Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 9 | ActDCF =0.416 | MinDCF =0.413
Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =0.420 | MinDCF =0.411
Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 11 | ActDCF =0.419 | MinDCF =0.410
Linear Regression | Lambda =1.44e+00 | Raw | PCA = 5 | ActDCF =0.538 | MinDCF =0.518
Linear Regression | Lambda =1.44e+00 | Raw | PCA = 6 | ActDCF =0.539 | MinDCF =0.517
Linear Regression | Lambda =1.44e+00 | Raw | PCA = 7 | ActDCF =0.536 | MinDCF =0.516
Linear Regression | Lambda =1.44e+00 | Raw | PCA = 8 | ActDCF =0.536 | MinDCF =0.516
Linear Regression | Lambda =1.44e+00 | Raw | PCA = 9 | ActDCF =0.536 | MinDCF =0.516
Linear Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =0.536 | MinDCF =0.516
